full_name,age,gender,party,constituency,election_year,result,votes_received,total_votes,vote_percentage,winning_margin,education,profession,total_assets,total_liabilities,criminal_cases_count,affidavit_link,source_url,scraped_timestamp
CHANDHIRAKUMAR. V.C,57,Male,DMK,ERODE EAST : BYE ELECTION ON 05-02-2025 (ERODE),tamilnadu2021,Won,0,0,0.0,0,,Real Estate Agent,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=4388,2026-02-22 12:46:51.904671
E.V.K.S.ELANGOVAN,74,Male,INC,ERODE EAST : BYE ELECTION ON 27-02-2023 (ERODE),tamilnadu2021,Won,0,0,0.0,0,,House Wife,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=4331,2026-02-22 12:46:55.568696
ANNIYUR SIVA ALIAS SIVASHANMUGAM. A,53,Male,DMK,VIKRAVANDI : BYE ELECTION ON 10-07-2024 (VILLUPPURAM),tamilnadu2021,Won,0,0,0.0,0,,"Agriculturist, Partner, Hari Construction, Proprietor, Sri Hari Agencies",0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=4359,2026-02-22 12:46:59.192016
THARAHAI CUTHBERT,49,Male,INC,VILAVANCODE : BYE ELECTION ON 19-04-2024 (KANNIYAKUMARI),tamilnadu2021,Won,0,0,0.0,0,,Not Applicable,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=4349,2026-02-22 12:47:02.428694
SIVA.V.MEYYANATHAN,52,Male,DMK,ALANGUDI (PUDUKKOTTAI),tamilnadu2021,Won,0,0,0.0,0,,"Agriculture, Union Member, 3rd Ward Aranthangi Karachi union",0,0,29,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1827,2026-02-22 12:47:05.785915
PAUL MANOJ PANDIAN,49,Male,AIADMK,ALANGULAM (TENKASI),tamilnadu2021,Won,0,0,0.0,0,,Manager in Private Concern,0,0,3,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=293,2026-02-22 12:47:09.686152
E.SUBAYA,56,Male,AIADMK,AMBASAMUDRAM (TIRUNELVELI),tamilnadu2021,Won,0,0,0.0,0,,Doctor(Siddha) & Business,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=349,2026-02-22 12:47:13.632343
JOSEPH SAMUEL,58,Male,DMK,AMBATTUR (THIRUVALLUR),tamilnadu2021,Won,0,0,0.0,0,,NIL,0,0,1,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=1828,2026-02-22 12:47:16.947530
VILWANATHAN.A.C,61,Male,DMK,AMBUR (TIRUPATHUR),tamilnadu2021,Won,0,0,0.0,0,,HOUSE WIFE,0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=352,2026-02-22 12:47:20.223569
A.P.NANDAKUMAR,52,Male,DMK,ANAIKATTU (VELLORE),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,10,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=246,2026-02-22 12:47:24.138693
A.MAHARAJAN,67,Male,DMK,ANDIPATTI (THENI),tamilnadu2021,Won,0,0,0.0,0,,Agriculture and busines,0,0,4,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=787,2026-02-22 12:47:27.961032
M.K. MOHAN,68,Male,DMK,ANNA NAGAR (CHENNAI),tamilnadu2021,Won,0,0,0.0,0,,Business,0,0,4,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=297,2026-02-22 12:47:32.607365
VENKATACHALAM.A.G,61,Male,DMK,ANTHIYUR (ERODE),tamilnadu2021,Won,0,0,0.0,0,,Housewife,0,0,9,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=801,2026-02-22 12:47:36.200299
S.RAVI,57,Male,AIADMK,ARAKKONAM (SC) (RANIPET),tamilnadu2021,Won,0,0,0.0,0,,Gas Supplier (Business),0,0,0,,https://www.myneta.info/tamilnadu2021/candidate.php?candidate_id=267,2026-02-22 12:47:39.694463
