Party Name,sort,Flag,Address
All India Forward Bloc,AIFB,,"Netaji Bhavan, T-2235/2, Ashok Nagar, Faiz Road, Karol Bagh, New Delhi, India-110005[4]"
Amma Makkal Munnettra Kazagam,AMMK,,"21/11, 1st Main Road, Karpagam Gardens, Adyar, Chennai – 600020, Tamil Nadu, India."
Indhiya Jananayaga Katchi,IJK,,"No. 9, 3rd Avenue, 3th Street, Ashok Nagar, Chennai-600083, Tamil Nadu, India"
Indian National League,INL,,
Indian Union Muslim League,IUML,,"Quaid-e-Millath Manzil, No. 36, Maraikayar Lebbai Street, Chennai, Tamil Nadu, India"
Makkal Needhi Maiam,MNM,,"4, Eldams Road, Vannia Teynampet, Alwarpet, Chennai-600018, Tamil Nadu, India"
Marumalarchi Dravida Munnetra Kazhagam,MDMK,,"Thayagam,12, Rukmini Lakshmipathi Salai, Egmore, Chennai – 600008, Tamil Nadu, India."
Pattali Makkal Katchi,PMK,,"Tindivanam, Villupuram District, Chennai - 604001, Tamil Nadu"
Puratchi Bharatham Katchi,PBK,,"13, First Floor, Perum Salai, P.R.C. Complex, Poonamallee, Chennai – 600056, Tamil Nadu, India."
Puthiya Tamilagam,PT,,"Pothigai Illam,
1/2A, VGM Street, Nungambakkam, Chennai – 600034, Tamil Nadu, India."
Social Democratic Party of India,SDPI,,"C-4, Hazrat Nizamuddin West New Delhi, India-110013"
Tamil Maanila Congress (Moopanar),TMC(M),,"14, 5th Cross Street, Ellaiamman Colony,
Teynampet, Chennai – 600086, Tamil Nadu, India."
Tamilaga Vettri Kazhagam,TVK,,"Panaiyur, Chennai, Tamil Nadu"
