Name,Portfolio,Start Date,End Date,Duration,Reason for End
J. Jayalalithaa,"Chief Minister (Home, Public, Police, IAS/IPS/IFS, District Revenue, General Administration, PWD, Highways, Minor Ports, Finance, Personnel & AR)",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Death
O. Panneerselvam,"Finance, Personnel & Administrative Reforms",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Dindigul C. Sreenivasan,Forests,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Edappadi K. Palaniswami,Public Works (Highways and Minor Ports),23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Sellur K. Raju,"Co-operation, Labour",23 May 2016,25 May 2016,23 May 2016 - 25 May 2016,Cabinet reshuffle
Sellur K. Raju,Co-operation,25 May 2016,05 Dec 2016,25 May 2016 - 05 Dec 2016,Cabinet dissolved
P. Thangamani,"Electricity, Prohibition and Excise",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
S. P. Velumani,"Municipal Administration, Rural Development, Special Programme Implementation",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
D. Jayakumar,Fisheries,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
C. Ve. Shanmugam,"Law, Courts and Prisons",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
K. P. Anbalagan,Higher Education,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Dr. V. Saroja,"Social Welfare, Nutritious Noon Meal Programme",23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
M. C. Sampath,Industries,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
K. C. Karuppannan,Environment,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
R. Kamaraj,"Food, Civil Supplies, HR&CE",23 May 2016,25 May 2016,23 May 2016 - 25 May 2016,Cabinet reshuffle
R. Kamaraj,"Food, Civil Supplies",25 May 2016,05 Dec 2016,25 May 2016 - 05 Dec 2016,Cabinet dissolved
O. S. Manian,Handlooms and Textiles,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Udumalai K. Radhakrishnan,Housing and Urban Development,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
C. Vijayabhaskar,Health and Family Welfare,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
S. P. Shanmuganathan,Milk and Dairy Development,23 May 2016,16 Feb 2017,23 May 2016 - 16 Feb 2017,Dropped from cabinet
Kadambur C. Raju,Information and Publicity,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
R. B. Udhayakumar,Revenue,23 May 2016,07 Aug 2019,23 May 2016 - 07 Aug 2019,Cabinet reshuffle
K. T. Rajenthra Bhalaji,Rural Industries,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
K. C. Veeramani,Commercial Taxes,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
P. Benjamin,"School Education, Sports, Youth Welfare",23 May 2016,16 Feb 2017,23 May 2016 - 16 Feb 2017,Dropped from cabinet
V. M. Rajalakshmi,Adi Dravidar and Tribal Welfare,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
S. Valarmathi,Backward Classes and Minority Welfare,23 May 2016,05 Dec 2016,23 May 2016 - 05 Dec 2016,Cabinet dissolved
Dr. M. Manikandan,Information Technology,23 May 2016,07 Aug 2019,23 May 2016 - 07 Aug 2019,Cabinet reshuffle
P. Balakrishna Reddy,Animal Husbandry,25 May 2016,07 Jan 2019,25 May 2016 - 07 Jan 2019,Resignation
G. Baskaran,Khadi and Village Industries Board,25 May 2016,05 Dec 2016,25 May 2016 - 05 Dec 2016,Cabinet dissolved
S. Ramachandran,"Hindu Religious, Charitable Endowments",25 May 2016,31 Oct 2020,25 May 2016 - 31 Oct 2020,Death
O. Panneerselvam,"Chief Minister (Finance, Home, Public, Police, IAS/IPS/IFS, District Revenue, GA, Legislative Assembly, Elections, PWD, Highways, Minor Ports, Personnel & AR)",06 Dec 2016,15 Feb 2017,06 Dec 2016 - 15 Feb 2017,Change of Chief Minister
Pandiarajan,"School Education, Youth Welfare and Sports Development",06 Dec 2016,16 Feb 2017,06 Dec 2016 - 16 Feb 2017,Cabinet reshuffle
Dindigul C. Sreenivasan,Forests,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
Edappadi K. Palaniswami,"Public Works, Highways and Minor Ports",06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
Sellur K. Raju,Co-operation,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
P. Thangamani,"Electricity, Prohibition and Excise",06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
S. P. Velumani,Municipal Administration and Rural Development,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
D. Jayakumar,Fisheries,06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
C. Ve. Shanmugam,"Law, Courts and Prisons",06 Dec 2016,07 May 2021,06 Dec 2016 - 07 May 2021,Government term ended
