AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
1,GUMMIDIPOONDI,1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,61922,570,62492,26.88
1,GUMMIDIPOONDI,2,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,65894,481,66375,28.55
1,GUMMIDIPOONDI,3,M.JAGADEESAN,Bahujan Samaj Party,695,2,697,0.3
1,GUMMIDIPOONDI,4,"R.SRIDAR. B.L.,",Naam Tamilar Katchi,4707,49,4756,2.05
1,GUMMIDIPOONDI,5,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,593,6,599,0.26
1,GUMMIDIPOONDI,6,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,335,1,336,0.14
1,GUMMIDIPOONDI,7,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,93820,500,94320,40.56
1,GUMMIDIPOONDI,8,M.KUMARAN,Independent,260,0,260,0.11
1,GUMMIDIPOONDI,9,GOPAL.K,Independent,174,3,177,0.08
1,GUMMIDIPOONDI,10,T.GOVINDAN,Independent,205,1,206,0.09
1,GUMMIDIPOONDI,11,A.H. SIVA GANESH,Independent,104,0,104,0.04
1,GUMMIDIPOONDI,12,D.SUDHAKAR,Independent,319,2,321,0.14
1,GUMMIDIPOONDI,13,V.SUDHAKAR,Independent,217,0,217,0.09
1,GUMMIDIPOONDI,14,D.DINESH,Independent,222,0,222,0.1
1,GUMMIDIPOONDI,15,G.RANJITH B.SC.L.L.B,Independent,502,1,503,0.22
1,GUMMIDIPOONDI,16,NOTA,None of the Above,931,6,937,0.4
2,PONNERI,1,DURAI CHANDRASEKAR,Indian National Congress,54301,370,54671,24.1
2,PONNERI,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,611,4,615,0.27
2,PONNERI,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,51160,308,51468,22.69
2,PONNERI,4,RAJATHI.M,Naam Tamilar Katchi,6633,43,6676,2.94
2,PONNERI,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,360,6,366,0.16
2,PONNERI,6,RAJA.S,Vanchit Bahujan Aaghadi,295,4,299,0.13
2,PONNERI,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,163,3,166,0.07
2,PONNERI,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,0,371,0.16
2,PONNERI,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,110051,388,110439,48.69
2,PONNERI,10,NAGAIYAN.G,Independent,227,5,232,0.1
2,PONNERI,11,BARATHIRAJA.K,Independent,155,4,159,0.07
2,PONNERI,12,RAJASEKAR.J,Independent,288,1,289,0.13
2,PONNERI,13,VENKATESAN.S,Independent,202,1,203,0.09
2,PONNERI,14,NOTA,None of the Above,859,6,865,0.38
3,TIRUTTANI,1,G.HARI,All India Anna Dravida Munnetra Kazhagam,87893,1276,89169,37.34
3,TIRUTTANI,2,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,53976,887,54863,22.97
3,TIRUTTANI,3,CHANDRAN .S.S,Naam Tamilar Katchi,6516,188,6704,2.81
3,TIRUTTANI,4,MUTHURAJ.G,Bahujan Samaj Party,469,1,470,0.2
3,TIRUTTANI,5,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,82608,768,83376,34.91
3,TIRUTTANI,6,BALAJI.A,Thakkam Katchi,272,0,272,0.11
3,TIRUTTANI,7,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,130,2,132,0.06
3,TIRUTTANI,8,KRISHNAMOORTHY.K,Independent,201,9,210,0.09
3,TIRUTTANI,9,KRISHNAMOORTHY.D,Independent,460,7,467,0.2
3,TIRUTTANI,10,KRISHNAMOORTHY.M,Independent,943,3,946,0.4
3,TIRUTTANI,11,SHETTU.S,Independent,152,1,153,0.06
3,TIRUTTANI,12,DR.A.V.NARENDRAN,Independent,197,1,198,0.08
3,TIRUTTANI,13,JAMBU.B,Independent,623,5,628,0.26
3,TIRUTTANI,14,NOTA,None of the Above,1180,30,1210,0.51
4,THIRUVALLUR,1,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,66729,701,67430,29.78
4,THIRUVALLUR,2,K. SENTHILKUMAR,Naam Tamilar Katchi,5452,61,5513,2.43
4,THIRUVALLUR,3,BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,56086,476,56562,24.98
4,THIRUVALLUR,4,B. RAJESH KUMAR,Bahujan Samaj Party,668,6,674,0.3
4,THIRUVALLUR,5,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,91683,507,92190,40.71
4,THIRUVALLUR,6,E. MANI,Republican Party of India (Athawale),644,9,653,0.29
4,THIRUVALLUR,7,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,0,134,0.06
4,THIRUVALLUR,8,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,352,2,354,0.16
4,THIRUVALLUR,9,E.KOTHANDAN,Independent,201,2,203,0.09
4,THIRUVALLUR,10,N. NAGENDRABABU,Independent,184,0,184,0.08
4,THIRUVALLUR,11,N. BALAKRISHNAN,Independent,186,0,186,0.08
4,THIRUVALLUR,12,R. RAMANAN,Independent,118,0,118,0.05
4,THIRUVALLUR,13,G. RAJENDIRAN,Independent,223,4,227,0.1
4,THIRUVALLUR,14,S. RAJENDRAN,Independent,867,1,868,0.38
4,THIRUVALLUR,15,NOTA,None of the Above,1122,10,1132,0.5
5,POONAMALLEE,1,KRISHNASWAMY.A,Dravida Munnetra Kazhagam,87803,766,88569,28.67
5,POONAMALLEE,2,MEKALA.J,Naam Tamilar Katchi,11616,81,11697,3.79
5,POONAMALLEE,3,RAJASEKARAN.K,Bahujan Samaj Party,852,8,860,0.28
5,POONAMALLEE,4,ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,43017,263,43280,14.01
5,POONAMALLEE,5,PRAKASAM.R,Tamilaga Vettri Kazhagam,160643,666,161309,52.22
5,POONAMALLEE,6,SIVAKUMAR.S,Independent,297,0,297,0.1
5,POONAMALLEE,7,DHASARATHAN.R,Independent,133,0,133,0.04
5,POONAMALLEE,8,PURUSHOTHAMAN.B,Independent,254,1,255,0.08
5,POONAMALLEE,9,RAVIKUMAR.M,Independent,352,3,355,0.11
5,POONAMALLEE,10,VELU.S,Independent,263,1,264,0.09
5,POONAMALLEE,11,DR.JAYANTHI.R,Independent,299,5,304,0.1
5,POONAMALLEE,12,NOTA,None of the Above,1551,20,1571,0.51
6,AVADI,1,S. CHARLES,Bahujan Samaj Party,746,15,761,0.22
6,AVADI,2,S.M.NASAR,Dravida Munnetra Kazhagam,103115,958,104073,30.08
6,AVADI,3,PUNITHA SHANMUGAM,Naam Tamilar Katchi,16190,145,16335,4.72
6,AVADI,4,RAJASIMHA MAHENDRA,Bharatiya Janata Party,39170,435,39605,11.45
6,AVADI,5,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,471,7,478,0.14
6,AVADI,6,C.S. Karnan,Anti Corruption Dynamic Party,222,2,224,0.06
6,AVADI,7,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,156,0,156,0.05
6,AVADI,8,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,625,2,627,0.18
6,AVADI,9,R.RAMESH KUMAR,Tamilaga Vettri Kazhagam,179472,912,180384,52.13
6,AVADI,10,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,177,0,177,0.05
6,AVADI,11,K. ANNAMALAI,Independent,77,0,77,0.02
6,AVADI,12,G.D. ARUNKUMAR,Independent,205,0,205,0.06
6,AVADI,13,M. ERAJASIMMAN,Independent,105,0,105,0.03
6,AVADI,14,R. KUMAR,Independent,305,3,308,0.09
6,AVADI,15,S. SENTHILKUMAR,Independent,167,0,167,0.05
6,AVADI,16,P. CHELLAPANDIAN,Independent,254,1,255,0.07
6,AVADI,17,K. BALAKRISHNAN,Independent,141,0,141,0.04
6,AVADI,18,R. MANIKANDAN,Independent,195,0,195,0.06
6,AVADI,19,UNIESH RAJ. M,Independent,93,1,94,0.03
6,AVADI,20,RAJASEKAR. R,Independent,105,0,105,0.03
6,AVADI,21,NOTA,None of the Above,1519,14,1533,0.44
7,MADURAVOYAL,1,GANAPATHY. K,Dravida Munnetra Kazhagam,79667,549,80216,27.31
7,MADURAVOYAL,2,P. BENJAMIN,All India Anna Dravida Munnetra Kazhagam,54456,249,54705,18.63
7,MADURAVOYAL,3,REVATHI L,Naam Tamilar Katchi,12977,47,13024,4.43
7,MADURAVOYAL,4,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,264,2,266,0.09
7,MADURAVOYAL,5,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,70,1,71,0.02
7,MADURAVOYAL,6,MURALI. S,Naam Indiar Party,298,2,300,0.1
7,MADURAVOYAL,7,RHEVANTH CHARAN,Tamilaga Vettri Kazhagam,141423,302,141725,48.26
7,MADURAVOYAL,8,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,171,0,171,0.06
7,MADURAVOYAL,9,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,232,1,233,0.08
7,MADURAVOYAL,10,D. ANANDAN,Independent,67,0,67,0.02
7,MADURAVOYAL,11,K. GANAPATHY,Independent,96,3,99,0.03
7,MADURAVOYAL,12,V. KAMALA KANNAN,Independent,119,0,119,0.04
7,MADURAVOYAL,13,SARAVANAN KUMAR,Independent,78,0,78,0.03
7,MADURAVOYAL,14,R. SIVA,Independent,315,7,322,0.11
7,MADURAVOYAL,15,M. BALASUBRAMANIAN,Independent,67,0,67,0.02
7,MADURAVOYAL,16,S. BENJAMIN MOSES,Independent,206,1,207,0.07
7,MADURAVOYAL,17,PONMUTHU RAMESH,Independent,200,2,202,0.07
7,MADURAVOYAL,18,N.A. MANI,Independent,157,0,157,0.05
7,MADURAVOYAL,19,R. YUVARAJ,Independent,82,2,84,0.03
7,MADURAVOYAL,20,VIGNESH NANDAGOPAL,Independent,83,0,83,0.03
7,MADURAVOYAL,21,M. JAMES,Independent,34,0,34,0.01
7,MADURAVOYAL,22,NOTA,None of the Above,1448,14,1462,0.5
8,AMBATTUR,1,SILAMBARASAN,Naam Tamilar Katchi,11049,39,11088,4.26
8,AMBATTUR,2,DR. J.SAILAS,Bahujan Samaj Party,441,2,443,0.17
8,AMBATTUR,3,DR A.P. POORNIMA,Dravida Munnetra Kazhagam,74156,402,74558,28.68
8,AMBATTUR,4,A.KALYANASUNDARAM,Nationalist Janshakti Party,584,4,588,0.23
8,AMBATTUR,5,K.N. SEKAR,Pattali Makkal Katchi,35826,171,35997,13.85
8,AMBATTUR,6,BALAMURUGAN.G,Tamilaga Vettri Kazhagam,132995,344,133339,51.29
8,AMBATTUR,7,V. RAMKUMAR,India Suyarajya Party,224,0,224,0.09
8,AMBATTUR,8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,125,2,127,0.05
8,AMBATTUR,9,D. JEYAGANESH,Naam Indiar Party,67,0,67,0.03
8,AMBATTUR,10,M.S. ARUMUGAM,Independent,135,0,135,0.05
8,AMBATTUR,11,P. ARUMUGAM,Independent,77,0,77,0.03
